id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
54,Hoja papel antigrasa 25 grms 30x30 cm cuadros azul,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros azul,004ANTIG,724.41,1000,004ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-azul.jpg,TRUE
55,Hoja papel antigrasa 25 grms 30x30 cm cuadros café,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros café,005.2ANTIG,724.41,1000,005.2ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-cafe.jpg,TRUE
56,Hoja papel antigrasa 25 grms 30x30 cm cuadros naranja,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros naranja,005.3ANTIG,724.41,1000,005.3ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-naranja.jpg,TRUE
57,Hoja papel antigrasa 25 grms 30x30 cm cuadros negro,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros negro,003ANTIG,724.41,1000,003ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-negro.jpg,TRUE
58,Hoja papel antigrasa 25 grms 30x30 cm cuadros rojo,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros rojo,,,,002ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-rojo.jpg,TRUE
59,Hoja papel antigrasa 25 grms 30x30 cm cuadros rosa,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros rosa,001.1ANTIG,724.41,500,001.1ANTIGP,224.39,,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-rosa.jpg,TRUE
60,Hoja papel antigrasa 25 grms 30x30 cm cuadros verde,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros verde,005.0ANTIG,724.41,1000,005.0ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-verde.jpg,TRUE
61,Hoja papel antigrasa 25 grms 30x30 cm liso kraft,Papel Kraft,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm liso kraft,001.0ANTIG,573.23,1000,001.0ANTIGP,88.78,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-liso-kraft.jpg,TRUE
62,Capacillo Tulip Postrero Kraft Natural 4.5x8 cm,Papel Kraft,Empaque Complementario,Capacillo Tulip Postrero Kraft Natural 4.5x8 cm,016.2KRAFT,5622.80,3800,016.2KRAFTP,396.72,190,Pzas,capacillo-tulip-postrero-kraft-natural-45x8-cm.jpg,TRUE
63,Fajilla Ajustable Cartón Bio 8/10/12/16 oz,Papel Kraft,Empaque Complementario,Fajilla Ajustable Cartón Bio 8/10/12/16 oz,014KRAFT,721.57,1000,014KRAFTP,118.71,100,Pzas,fajilla-ajustable-carton-bio-8101216-oz.jpg,TRUE
