SKU,Descripción,Precio
012MADBA,Pinza Bambú 10 cm PACK 40 Pzas. *15,211.03
013MADBA,Pinza Bambú 16 cm PACK 40 Pzas. *15,244.07
016MADBA,"Tenedor Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",615.87
016MADBAP,Tenedor Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,88.18
007MADBA,Barquito (Badeja) Madera 7.5x5.5 cm PACK 100 Pzas. *15,274.02
008MADBA,Barquito (Bandeja) Madera 17.5x9 cm PACK 50 Pzas. *15,335.43
009MADBA,Barquito (Bandeja) Madera 19x9.6 cm PACK 50 Pzas. *15,393.70
010.0MADBA,Barquito (Bandeja) Madera 21.5x11.5 cm PACK 50 Pzas. *15,456.69
010.1MADBA,Barquito (Bandeja) Madera 25x11.5 cm PACK 50 Pzas. *15,518.11
011MADBA,Cono Bambú 12 cm (8.5x6.5x11.5) PACK 50 Pzas. *15,196.85
005NC,Bolsa camiseta Poliseda BIO Grande Vitabag 30x20X61 cm CAJA 10 KG. PS*5,1102.36
006NC,Bolsa camiseta Poliseda BIO Mediana Vitabag 25x50 cm CAJA 10 KG. PS*5,944.88
006NCP,Bolsa camiseta Poliseda BIO Mediana Vitabag 30x60 cm PQTE 1 KG. PS*5,109.09
005NCP,Bolsa camiseta Poliseda BIOGrande Vitabag 30x20X61 cm PQTE 1 KG. PS*5,127.27
009NC,Bolsa camiseta Poliseda lisa Chica 25x40 cm CAJA 25 KG. PS*10,1669.29
009NCP,Bolsa camiseta Poliseda lisa Chica 25x40 cm PQTE 1 KG. PS*10,77.09
007NC,Bolsa camiseta Poliseda lisa Grande 30x60 cm CAJA 25 KG. PS*10,1669.29
007NCP,Bolsa camiseta Poliseda lisa Grande 30x60 cm PQTE 1 KG. PS*10,77.09
008NC,Bolsa camiseta Poliseda lisa Mediana 25X50 cm CAJA 25 KG. PS*10,1669.29
008NCP,Bolsa camiseta Poliseda lisa Mediana 25x50 cm PQTE 1 KG. PS*10,77.09
